Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
166;17700155010;"Australasian Marketing Journal";journal;"14413582, 18393349";1,403;Q1;59;50;113;4394;815;101;4,88;87,88;38,46;0;10;Australia;Pacific Region;"SAGE Publications Ltd";"2003-2025";"Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
167;144933;"Review of Economics of the Household";journal;"15737152, 15695239";1,395;Q1;48;88;145;4647;655;143;2,82;52,81;45,79;16;62;Netherlands;Western Europe;"Kluwer Academic Publishers";"2005-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
168;21101081525;"Resources, Conservation and Recycling Advances";journal;"26673789";1,385;Q1;28;41;137;3592;1107;136;8,20;87,61;25,35;0;32;United States;Northern America;"Elsevier Inc.";"2021-2025";"Economics and Econometrics (Q1); Waste Management and Disposal (Q1)";"Economics, Econometrics and Finance; Environmental Science"
169;4700152638;"Review of International Organizations";journal;"1559744X, 15597431";1,385;Q1;54;62;103;5711;507;93;4,41;92,11;46,00;6;37;United States;Northern America;"Springer New York";"2006-2025";"Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
170;19900193252;"Journal of the American Taxation Association";journal;"15588017, 01989073";1,382;Q1;33;12;37;786;91;36;2,19;65,50;48,15;0;7;United States;Northern America;"American Accounting Association";"2003, 2007, 2009-2024";"Accounting (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
171;20928;"Environmental and Resource Economics";journal;"09246460, 15731502";1,381;Q1;121;110;276;6446;1218;271;4,14;58,60;34,30;10;91;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1991-2025";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
172;7100153129;"European Accounting Review";journal;"09638180, 14684497";1,381;Q1;92;113;150;7958;788;149;4,22;70,42;29,47;1;27;United Kingdom;Western Europe;"Routledge";"1992-2025";"Accounting (Q1); Aerospace Engineering (Q1); Arts and Humanities (miscellaneous) (Q1); Automotive Engineering (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1); History (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Engineering"
173;21101033050;"Journal of Global Economic Analysis";journal;"23772999";1,377;Q1;17;5;20;191;61;20;3,29;38,20;30,00;0;3;United States;Northern America;"Purdue University, Department of Agricultural Economics";"2016-2024";"Applied Mathematics (Q1); Economics and Econometrics (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
174;22707;"International Review of Economics and Finance";journal;"10590560";1,372;Q1;87;837;855;47298;6200;854;7,02;56,51;35,52;10;468;United States;Northern America;"Elsevier Inc.";"1992-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
175;29806;"International Journal of Accounting Information Systems";journal;"14670895";1,367;Q1;70;36;65;3014;637;64;9,40;83,72;39,00;0;6;United States;Northern America;"Elsevier Inc.";"2000-2025";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
176;20662;"Entrepreneurship and Regional Development";journal;"14645114, 08985626";1,353;Q1;119;89;131;8355;764;126;4,48;93,88;42,98;3;30;United Kingdom;Western Europe;"Routledge";"1989-2025";"Business and International Management (Q1); Development (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
177;73771;"Agricultural Economics (United Kingdom)";journal;"15740862, 01695150";1,345;Q1;112;54;182;3382;840;181;3,75;62,63;26,92;1;39;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2025";"Agronomy and Crop Science (Q1); Economics and Econometrics (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
178;26043;"Economy and Society";journal;"03085147, 14695766";1,343;Q1;103;33;92;2511;401;92;4,26;76,09;41,07;1;17;United Kingdom;Western Europe;"Routledge";"1972-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
179;22915;"Journal of Economic Psychology";journal;"01674870";1,333;Q1;126;49;181;2820;475;177;2,43;57,55;35,46;0;17;Netherlands;Western Europe;"Elsevier B.V.";"1981-2025";"Applied Psychology (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Psychology; Social Sciences"
180;18173;"Mathematical Finance";journal;"09601627, 14679965";1,327;Q1;89;39;108;2115;300;108;2,91;54,23;23,53;0;2;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2025";"Accounting (Q1); Applied Mathematics (Q1); Economics and Econometrics (Q1); Finance (Q1); Social Sciences (miscellaneous) (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Mathematics; Social Sciences"
181;21100437107;"Borsa Istanbul Review";journal;"22148450, 22148469";1,326;Q1;52;123;275;8308;2379;274;8,83;67,54;31,19;2;63;Turkey;Middle East;"Borsa Istanbul Anonim Sirketi";"2013-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
182;18291;"Socio-Economic Planning Sciences";journal;"00380121";1,326;Q1;76;296;669;19444;4664;664;6,82;65,69;40,61;2;190;United Kingdom;Western Europe;"Elsevier Ltd";"1967-2025";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Management Science and Operations Research (Q1); Statistics, Probability and Uncertainty (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
183;21255;"Feminist Economics";journal;"14664372, 13545701";1,318;Q1;76;39;115;2835;569;113;2,88;72,69;60,61;2;38;United Kingdom;Western Europe;"Routledge";"1995-2024";"Arts and Humanities (miscellaneous) (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Gender Studies (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
184;18617;"Journal of Risk and Insurance";journal;"15396975, 00224367";1,310;Q1;74;34;105;1773;308;102;2,26;52,15;32,89;0;16;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-1979, 1996-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
185;15465;"Pacific Basin Finance Journal";journal;"0927538X";1,310;Q1;84;326;604;19390;3810;601;5,83;59,48;38,63;0;154;Netherlands;Western Europe;"Elsevier B.V.";"1993-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
186;22839;"International Marketing Review";journal;"02651335";1,306;Q1;109;62;174;6838;1174;166;6,63;110,29;36,26;0;14;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
187;17533;"Journal of International Money and Finance";journal;"02615606";1,304;Q1;123;171;465;8751;1769;457;3,88;51,18;21,78;19;102;United Kingdom;Western Europe;"Elsevier B.V.";"1982-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
188;22751;"Journal of Economic Inequality";journal;"15691721, 15738701";1,294;Q1;51;70;117;3611;429;115;2,86;51,59;30,43;9;64;Netherlands;Western Europe;"Springer Netherlands";"2004-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
189;27516;"Applied Health Economics and Health Policy";journal;"11755652, 11791896";1,291;Q1;56;80;225;4063;812;208;3,55;50,79;44,24;2;35;Switzerland;Western Europe;"Springer International Publishing AG";"2002-2006, 2008-2025";"Economics and Econometrics (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Medicine"
190;23715;"Science Technology and Human Values";journal;"01622439, 15528251";1,290;Q1;96;97;179;5946;757;163;3,83;61,30;62,42;2;44;United States;Northern America;"SAGE Publications Inc.";"1976-2025";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences"
191;21100890672;"Financial Innovation";journal;"21994730";1,287;Q1;57;149;303;11701;2884;286;9,16;78,53;23,96;1;64;Germany;Western Europe;"SpringerOpen";"2015-2025";"Finance (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
192;28945;"Industrial and Corporate Change";journal;"14643650, 09606491";1,280;Q1;132;64;206;4862;768;206;2,72;75,97;30,63;4;38;United Kingdom;Western Europe;"Oxford University Press";"1992-2025";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
193;28466;"Economic History Review";journal;"00130117, 14680289";1,278;Q1;64;85;147;6460;309;137;2,01;76,00;25,87;2;53;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1927-2025";"Economics and Econometrics (Q1); History (Q1)";"Arts and Humanities; Economics, Econometrics and Finance"
194;21101019253;"Oeconomia Copernicana";journal;"23531827, 20831277";1,271;Q1;37;40;110;3333;1121;108;12,53;83,33;40,36;0;31;Poland;Eastern Europe;"Institute of Economic Research";"2015-2024";"Business and International Management (Q1); Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
195;19692;"Economics of Education Review";journal;"02727757";1,270;Q1;109;67;266;3421;749;266;2,33;51,06;41,90;11;39;United Kingdom;Western Europe;"Elsevier Ltd";"1981-1982, 1984-2025";"Economics and Econometrics (Q1); Education (Q1)";"Economics, Econometrics and Finance; Social Sciences"
196;19800188032;"MIS Quarterly Executive";journal;"15401979, 15401960";1,267;Q1;58;37;59;808;171;46;2,29;21,84;24,69;0;5;United States;Northern America;"Association for Information Systems";"2010-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
197;100147313;"Journal of Business Finance and Accounting";journal;"0306686X, 14685957";1,263;Q1;96;106;177;8112;791;177;3,34;76,53;34,62;2;29;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974-2025";"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
198;21100409365;"Strategic Change";journal;"10861718, 10991697";1,253;Q1;45;57;125;4700;928;123;5,47;82,46;34,69;0;15;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1992-2025";"Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
199;21100869398;"Work, Aging and Retirement";journal;"20544650";1,248;Q1;39;33;91;2083;331;81;3,31;63,12;56,79;4;16;United States;Northern America;"Oxford University Press";"2015-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geriatrics and Gerontology (Q1); Industrial Relations (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Social Sciences"
200;29401;"Journal of the Japanese and International Economies";journal;"08891583, 10958681";1,244;Q1;50;21;86;704;360;86;3,29;33,52;21,74;0;12;United States;Northern America;"Academic Press Inc.";"1987-2025";"Economics and Econometrics (Q1); Finance (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
201;12915;"Space Policy";journal;"02659646, 1879338X";1,227;Q1;33;51;91;3469;318;90;3,15;68,02;32,73;3;15;United Kingdom;Western Europe;"Elsevier B.V.";"1985-2025";"Economics and Econometrics (Q1); Law (Q1); Sociology and Political Science (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Economics, Econometrics and Finance; Social Sciences"
202;12277;"Management Accounting Research";journal;"10445005, 10961224";1,224;Q1;106;16;48;1313;232;46;4,16;82,06;26,47;0;3;United States;Northern America;"Academic Press";"1990-2025";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
203;21100887502;"Journal of Open Innovation: Technology, Market, and Complexity";journal;"21998531";1,215;Q1;63;262;622;21290;6292;622;10,18;81,26;32,54;1;168;Switzerland;Western Europe;"Elsevier B.V.";"2015-2025";"Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
204;22223;"Forest Policy and Economics";journal;"13899341";1,205;Q1;92;175;452;14268;2182;403;4,63;81,53;39,44;5;148;Netherlands;Western Europe;"Elsevier B.V.";"2000-2025";"Economics and Econometrics (Q1); Forestry (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
205;26249;"Maritime Economics and Logistics";journal;"14792931";1,202;Q1;60;48;104;2772;673;93;5,77;57,75;29,32;4;30;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2003-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Transportation (Q1)";"Economics, Econometrics and Finance; Social Sciences"
206;21101064807;"Cleaner and Responsible Consumption";journal;"26667843";1,198;Q1;22;84;146;6919;1025;144;6,49;82,37;47,74;0;69;United Kingdom;Western Europe;"Elsevier B.V.";"2020-2025";"Economics and Econometrics (Q1); Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Social Sciences (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Economics, Econometrics and Finance; Energy; Environmental Science; Social Sciences"
207;20500195043;"Research in Transportation Business and Management";journal;"22105395";1,196;Q1;57;132;385;9363;2255;375;5,51;70,93;38,81;2;92;Netherlands;Western Europe;"Elsevier B.V.";"2011-2025";"Business and International Management (Q1); Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
208;14122;"Economic Development and Cultural Change";journal;"00130079, 15392988";1,177;Q1;88;64;124;3472;279;119;1,99;54,25;37,89;24;43;United States;Northern America;"University of Chicago Press";"1978-1979, 1982-2025";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
209;27851;"Marine Policy";journal;"0308597X";1,169;Q1;133;422;1362;28360;6469;1359;4,49;67,20;42,79;18;362;United Kingdom;Western Europe;"Elsevier Ltd";"1977-2025";"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
210;21780;"Nonlinear Analysis: Real World Applications";journal;"14681218";1,168;Q1;106;171;518;5671;1053;516;1,83;33,16;33,24;0;30;Netherlands;Western Europe;"Elsevier B.V.";"2000-2025";"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Engineering; Mathematics; Medicine"
211;5200153107;"China and World Economy";journal;"16712234";1,166;Q1;42;40;142;1566;580;138;3,68;39,15;34,23;1;31;United States;Northern America;"Wiley-Blackwell";"2006-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
212;18111;"Insurance: Mathematics and Economics";journal;"01676687";1,159;Q1;91;80;282;3324;741;278;2,50;41,55;33,51;0;6;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Economics and Econometrics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
213;16230;"Global Finance Journal";journal;"10440283";1,157;Q1;51;105;270;6783;1682;266;6,28;64,60;24,13;1;47;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
214;21100870602;"Journal of Sustainable Finance and Investment";journal;"20430809, 20430795";1,146;Q1;43;70;211;4859;1673;202;7,72;69,41;26,52;9;50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2025";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
215;64461;"European Journal of Political Economy";journal;"01762680";1,144;Q1;104;114;302;6973;864;295;2,58;61,17;26,05;10;69;Netherlands;Western Europe;"Elsevier B.V.";"1985-2025";"Economics and Econometrics (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
216;6400153171;"ASTIN Bulletin";journal;"05150361, 17831350";1,138;Q1;51;31;90;1299;229;90;2,47;41,90;25,32;0;5;United Kingdom;Western Europe;"Cambridge University Press";"1958-1969, 1971-1975, 1977-1982, 1984-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
217;5200153112;"European Financial Management";journal;"13547798, 1468036X";1,136;Q1;77;92;126;7041;618;126;4,42;76,53;31,75;3;26;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1995-2025";"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
218;4100151536;"Research in Transportation Economics";journal;"07398859";1,135;Q1;72;70;270;3156;1351;263;4,25;45,09;30,05;2;45;United States;Northern America;"Emerald Publishing";"1994, 1996, 1999, 2001, 2004-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Transportation (Q1)";"Economics, Econometrics and Finance; Social Sciences"
219;27614;"Resource and Energy Economics";journal;"09287655";1,128;Q1;84;24;116;1244;390;114;3,53;51,83;24,07;2;16;Netherlands;Western Europe;"Elsevier B.V.";"1993-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
220;20002;"Economic Inquiry";journal;"00952583, 14657295";1,122;Q1;89;94;230;4848;607;227;2,65;51,57;27,75;8;39;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1962-2025";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
221;29391;"Energy Journal";journal;"19449089, 01956574";1,120;Q1;97;10;201;636;491;187;2,51;63,60;20,00;1;5;United States;Northern America;"SAGE Publications Ltd";"1994-2024";"Economics and Econometrics (Q1); Energy (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Energy"
222;21100827923;"Eurasian Business Review";journal;"13094297, 21474281";1,116;Q1;36;34;88;2729;481;88;4,45;80,26;36,05;0;18;Switzerland;Western Europe;"Springer International Publishing AG";"2011-2025";"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
223;24900;"Real Estate Economics";journal;"15406229, 10808620";1,116;Q1;74;56;163;2598;413;163;2,39;46,39;26,72;7;34;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
224;19700201635;"China Agricultural Economic Review";journal;"1756137X, 17561388";1,108;Q1;44;48;124;2643;704;121;5,80;55,06;34,06;0;36;United Kingdom;Western Europe;"Emarald Group Publishing Ltd";"2008-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
225;24849;"Scandinavian Journal of Economics";journal;"14679442, 03470520";1,093;Q1;78;35;118;1573;194;117;1,78;44,94;22,47;4;23;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-1980, 1983, 1985, 1991-1993, 1995-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
226;21100975685;"Annals of Financial Economics";journal;"20104952, 20104960";1,088;Q1;19;15;76;739;348;74;4,58;49,27;11,43;0;6;Singapore;Asiatic Region;"World Scientific";"2005-2009, 2011-2024";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
227;28988;"Journal of Economics and Management Strategy";journal;"15309134, 10586407";1,081;Q1;82;65;120;3495;204;120;1,96;53,77;27,70;8;12;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1992-2025";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
228;21100945159;"Journal of Law, Finance, and Accounting";journal;"23805013, 23805005";1,080;Q1;11;3;16;159;15;16;1,14;53,00;20,00;0;0;United States;Northern America;"Now Publishers Inc";"2016-2024";"Accounting (Q1); Finance (Q1); Law (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
229;21100262310;"EuroMed Journal of Business";journal;"14502194, 1758888X";1,078;Q1;42;114;100;9810;873;98;8,95;86,05;42,37;0;65;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2006-2025";"Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
230;28970;"Journal of Cultural Economics";journal;"08852545";1,078;Q1;55;33;75;1695;272;71;2,57;51,36;32,81;4;11;United States;Northern America;"Springer New York";"1977-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
231;29447;"Review of Industrial Organization";journal;"0889938X, 15737160";1,075;Q1;67;67;144;2440;151;142;0,94;36,42;17,11;1;16;Netherlands;Western Europe;"Springer Netherlands";"1984-1986, 1988-2025";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
232;25654;"Post-Soviet Affairs";journal;"1060586X";1,072;Q1;57;26;93;1752;317;90;3,65;67,38;40,00;0;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2025";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
233;10600153365;"Economics of Innovation and New Technology";journal;"14768364, 10438599";1,071;Q1;71;96;126;6547;673;125;5,22;68,20;38,86;5;63;United Kingdom;Western Europe;"Routledge";"1990-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
234;20320;"Journal of Policy Modeling";journal;"01618938";1,071;Q1;72;78;228;3435;952;225;3,29;44,04;28,65;5;62;Netherlands;Western Europe;"Elsevier B.V.";"1979-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
235;21100889857;"Journal of Benefit-Cost Analysis";journal;"21522812, 21945888";1,067;Q1;17;28;76;1320;172;76;1,96;47,14;27,27;2;11;United Kingdom;Western Europe;"Cambridge University Press";"2011, 2018-2025";"Economics and Econometrics (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
236;13217;"European Journal of Health Economics";journal;"16187598, 14396637";1,063;Q1;71;159;342;7873;1212;309;3,29;49,52;44,50;9;67;Germany;Western Europe;"Springer Verlag";"2002-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Health Policy (Q1)";"Economics, Econometrics and Finance; Medicine"
237;21100889419;"Annals of Actuarial Science";journal;"17484995, 17485002";1,060;Q1;20;39;85;1546;185;77;1,18;39,64;21,51;0;10;United Kingdom;Western Europe;"Cambridge University Press";"2010-2025";"Economics and Econometrics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
238;21100316071;"Journal of Behavioral and Experimental Finance";journal;"22146350, 22146369";1,049;Q1;46;105;282;6081;1753;282;5,76;57,91;28,37;0;37;Netherlands;Western Europe;"Elsevier B.V.";"2014-2025";"Finance (Q1)";"Economics, Econometrics and Finance"
239;20669;"Journal of Multinational Financial Management";journal;"1042444X";1,038;Q1;61;20;80;1330;408;80;4,82;66,50;27,27;0;5;Netherlands;Western Europe;"Elsevier B.V.";"1997-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
240;19400157006;"Judgment and Decision Making";journal;"19302975";1,032;Q1;78;36;151;2032;378;148;2,17;56,44;36,54;0;3;United States;Northern America;"Society for Judgment and Decision making";"2008-2025";"Economics and Econometrics (Q1); Applied Psychology (Q2); Decision Sciences (miscellaneous) (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Psychology"
241;26041;"Economics and Human Biology";journal;"18736130, 1570677X";1,031;Q1;70;96;287;5942;733;285;2,08;61,90;37,10;5;59;Netherlands;Western Europe;"Elsevier B.V.";"2003-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Health (social science) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
242;17500155110;"Foundations and Trends in Entrepreneurship";journal;"15513114, 15513122";1,030;Q2;40;8;19;1287;72;19;3,50;160,88;26,32;0;4;United States;Northern America;"Now Publishers Inc";"2005-2024";"Business and International Management (Q1); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
243;26836;"Journal of International Economic Law";journal;"14643758, 13693034";1,028;Q1;62;50;114;4529;316;112;2,43;90,58;42,68;4;32;United Kingdom;Western Europe;"Oxford University Press";"1998-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1); Law (Q1)";"Economics, Econometrics and Finance; Social Sciences"
244;5800207502;"Cliometrica";journal;"18632513, 18632505";1,026;Q2;26;32;54;2594;109;54;1,89;81,06;26,42;1;22;Germany;Western Europe;"Springer Verlag";"2007-2025";"History (Q1); Economics and Econometrics (Q2)";"Arts and Humanities; Economics, Econometrics and Finance"
245;19691;"International Journal of Electronic Commerce";journal;"10864415, 15579301";1,025;Q2;100;26;73;1772;349;65;3,30;68,15;40,00;0;0;United States;Northern America;"M.E. Sharpe Inc.";"1996-2024";"Business and International Management (Q1); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
246;21100203106;"Foundations and Trends in Finance";journal;"15672409, 15672395";1,024;Q1;24;2;4;479;22;4;4,50;239,50;0,00;0;1;United States;Northern America;"Now Publishers Inc";"2005-2015, 2017, 2020-2021, 2023-2024";"Finance (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance"
