Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1377;26486;Sociologia del Lavoro;journal;3925048;0,186;Q4;7;30;116;1465;50;112;0,37;48,83;52,94;0;19;Italy;Western Europe;FrancoAngeli Edizioni;1992, 1996, 2015-2024;"Sociology and Political Science (Q3); Economics and Econometrics (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1378;21101038741;Finance: Theory and Practice;journal;25877089, 25875671;0,185;Q4;12;108;274;3135;180;274;0,58;29,03;45,26;0;64;Russian Federation;Eastern Europe;Financial University under The Government of Russian Federation;2017-2024;"Economics, Econometrics and Finance (miscellaneous) (Q3); Business and International Management (Q4); Development (Q4); Finance (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1379;21100890137;International Journal of Business Continuity and Risk Management;journal;17582164, 17582172;0,185;Q4;8;21;64;1001;61;64;0,90;47,67;27,45;0;6;Switzerland;Western Europe;Inderscience;2016-2024;"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Mathematics"
1380;21101021770;International Journal of Management and Sustainability;journal;23069856, 23060662;0,185;Q4;10;64;76;3554;94;76;1,35;55,53;44,74;0;34;United States;Northern America;Conscientia Beam;2019-2024;"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
1381;20203;International Labor and Working-Class History;journal;14716445, 01475479;0,185;Q4;31;39;80;2800;44;78;0,33;71,79;37,21;0;20;United Kingdom;Western Europe;Cambridge University Press;1976-2025;"History (Q2); Organizational Behavior and Human Resource Management (Q4)";"Arts and Humanities; Business, Management and Accounting"
1382;21101111525;International Conference on Harbour, Maritime and Multimodal Logistics Modelling and Simulation;conference and proceedings;27240339;0,185;-;4;14;33;246;14;30;0,38;17,57;40,43;0;6;Spain;Western Europe;I3M Conference;2019-2024;"Business and International Management; Computer Science Applications; Management Science and Operations Research; Strategy and Management; Transportation";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
1383;21100268385;Formation Emploi;journal;21070946, 07596340;0,184;Q4;9;45;121;1550;15;104;0,14;34,44;68,25;0;18;France;Western Europe;Documentation Francaise;2012-2024;"Sociology and Political Science (Q3); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Social Sciences"
1384;21100863713;International Journal of Knowledge and Systems Science;journal;19478216, 19478208;0,184;Q4;11;6;47;383;41;47;0,85;63,83;53,57;0;4;United States;Northern America;IGI Global Publishing;2017-2024;"Artificial Intelligence (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1385;54666;International Journal of Networking and Virtual Organisations;journal;14709503, 17415225;0,184;Q4;23;38;124;1644;123;122;0,95;43,26;35,59;0;8;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2002-2024;"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems and Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1386;21100945266;Science and Innovation;journal;24099066, 24134996;0,184;Q4;11;47;172;1328;152;172;1,15;28,26;43,09;1;27;Ukraine;Eastern Europe;Publishing House Akademperiodyka;2014-2025;"Law (Q3); Computer Science Applications (Q4); Engineering (miscellaneous) (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
1387;5400152653;World Review of Entrepreneurship, Management and Sustainable Development;journal;17460581, 17460573;0,184;Q4;23;32;141;2208;139;140;0,57;69,00;33,75;0;22;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2005-2025;"Business and International Management (Q4); Economics and Econometrics (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Energy"
1388;21100396322;International Journal of Trade and Global Markets;journal;1742755X, 17427541;0,183;Q4;18;20;160;1166;98;157;0,57;58,30;57,38;0;12;Switzerland;Western Europe;Inderscience;2014-2024;"Economics, Econometrics and Finance (miscellaneous) (Q3); Business and International Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1389;21100820055;Journal of Distribution Science;journal;17383110, 20937717;0,183;Q4;19;135;370;6262;429;370;1,04;46,39;38,08;0;49;South Korea;Asiatic Region;KODISA Foundation;2016-2025;"Business and International Management (Q4); Economics and Econometrics (Q4); Marketing (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1390;21100942914;Organizatsionnaya Psikhologiya;journal;23125942;0,183;Q4;6;49;139;2803;84;137;0,62;57,20;51,85;0;12;Russian Federation;Eastern Europe;National Research University Higher School of Economics;2019-2024;"Applied Psychology (Q4); Organizational Behavior and Human Resource Management (Q4); Social Psychology (Q4)";"Business, Management and Accounting; Psychology"
1391;17198;Vlakna a Textil;journal;13350617;0,183;Q4;12;19;138;637;76;138;0,46;33,53;57,33;0;6;Slovakia;Eastern Europe;Slovak University of Technology;1994-2024;"Business and International Management (Q4); Chemical Engineering (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4); Polymers and Plastics (Q4)";"Business, Management and Accounting; Chemical Engineering; Materials Science"
1392;19400158801;Asian Academy of Management Journal of Accounting and Finance;journal;18234992, 19858299;0,182;Q4;20;20;62;1464;59;55;0,71;73,20;35,56;0;8;Malaysia;Asiatic Region;Universiti Sains Malaysia;2006, 2009-2024;"Accounting (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1393;4700152235;International Journal of Accounting, Auditing and Performance Evaluation;journal;17408008, 17408016;0,182;Q4;19;19;50;1131;41;50;0,62;59,53;34,15;0;7;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2004-2024;"Accounting (Q4); Finance (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1394;22755;Jurnal Ekonomi Malaysia;journal;27166058, 01271962;0,182;Q4;14;22;105;1173;80;105;0,65;53,32;45,45;0;16;Malaysia;Asiatic Region;Penerbit Universiti Kebangsaan Malaysia;1981, 1983, 2006-2024;"Economics, Econometrics and Finance (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1395;21101100272;PASOS Revista de Turismo y Patrimonio Cultural;journal;16957121, 2529959X;0,182;Q4;10;55;194;2690;127;193;0,72;48,91;41,38;0;37;Spain;Western Europe;University of La Laguna;2019-2024;"Cultural Studies (Q2); Anthropology (Q3); Social Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Social Sciences"
1396;21100870844;Acta Turistica;journal;18486061, 03534316;0,181;Q4;5;8;27;273;22;24;0,67;34,13;60,00;0;2;Croatia;Eastern Europe;University of Zagreb Faculty of Economics and Business;2018-2024;"Economics, Econometrics and Finance (miscellaneous) (Q3); Geography, Planning and Development (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1397;21100892891;Applied Marketing Analytics;journal;20547544, 20547552;0,181;Q4;7;34;120;769;87;107;0,91;22,62;35,19;0;1;United Kingdom;Western Europe;Henry Stewart Publications;2018-2024;"Marketing (Q4); Statistics, Probability and Uncertainty (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
1398;21100925894;Humanities and Social Sciences Letters;journal;23125659, 23124318;0,181;Q4;10;76;132;3932;123;132;0,93;51,74;42,46;0;31;Pakistan;Asiatic Region;Conscientia Beam;2019-2025;"Economics, Econometrics and Finance (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1399;5300152530;Advances in Hospitality and Leisure;book series;17453542;0,180;Q4;18;10;18;557;21;1;0,67;55,70;0,00;0;6;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2004, 2006-2019, 2021, 2023-2024;"Geography, Planning and Development (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Social Sciences"
1400;21100860389;International Journal of Information Technology Project Management;journal;19380232, 19380240;0,180;Q4;11;1;60;56;69;58;0,92;56,00;0,00;0;0;United States;Northern America;IGI Global Publishing;2017-2024;"Communication (Q3); Information Systems and Management (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
1401;21100931378;Southeast Asian Journal of Economics;journal;22868984, 24655120;0,180;Q4;4;20;53;1047;39;53;0,76;52,35;40,00;0;14;Thailand;Asiatic Region;Chulalognkorn University;2019-2024;"Economics, Econometrics and Finance (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q4); Development (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1402;21100795207;Journal of Telecommunications and the Digital Economy;journal;22031693;0,179;Q4;15;62;128;2619;113;125;0,81;42,24;34,75;0;14;Australia;Pacific Region;Telecommunications Association Inc.;2015-2024;"Communication (Q3); Media Technology (Q3); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
1403;21101216647;Turismo y Sociedad;journal;2346206X, 01207555;0,179;Q4;5;35;81;1722;44;79;0,38;49,20;58,73;0;16;Colombia;Latin America;Universidad Externado de Colombia;2020-2025;"Geography, Planning and Development (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Social Sciences"
1404;21100940690;Cultural Management: Science and Education;journal;25126962;0,178;Q4;8;14;50;450;33;44;0,75;32,14;52,17;0;5;Germany;Western Europe;Logos Verlag Berlin GmbH;2019-2024;"Arts and Humanities (miscellaneous) (Q2); Business and International Management (Q4); Education (Q4); Strategy and Management (Q4)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
1405;21101214786;Economics of Development;journal;23046155, 16831942;0,178;Q4;6;34;57;1187;78;57;1,65;34,91;62,28;0;25;Ukraine;Eastern Europe;Simon Kuznets Kharkiv National University of Economics;2021-2024;"Economics, Econometrics and Finance (miscellaneous) (Q3); Business and International Management (Q4); Marketing (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1406;16084;Journal of Commercial Biotechnology;journal;1478565X, 14628732;0,178;Q4;19;139;352;4466;289;350;0,91;32,13;40,86;0;62;Australia;Pacific Region;;2003-2024;"Biotechnology (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4)";"Biochemistry, Genetics and Molecular Biology; Business, Management and Accounting; Economics, Econometrics and Finance"
1407;21101274768;PuntOorg International Journal;journal;24991333;0,176;Q4;4;14;41;605;23;37;0,64;43,21;50,00;0;4;Italy;Western Europe;Editoriale Scientifica srl;2021-2025;"Cultural Studies (Q2); Communication (Q3); Gender Studies (Q3); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Social Sciences"
1408;21101034439;Studia Sportiva;journal;25708783, 18027679;0,176;Q4;4;34;86;1299;45;86;0,53;38,21;34,69;0;4;Czech Republic;Eastern Europe;Masaryk University Faculty of Sports Studies;2019-2024;"Applied Psychology (Q4); Education (Q4); Health (social science) (Q4); Orthopedics and Sports Medicine (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Health Professions; Medicine; Psychology; Social Sciences"
1409;21100827462;Journal of Advanced Manufacturing Technology;journal;19853157, 22898107;0,175;Q4;10;34;70;809;50;69;0,61;23,79;33,33;0;15;Malaysia;Asiatic Region;Penerbit Universiti Teknikal Malaysia Melaka;2017-2024;"Industrial and Manufacturing Engineering (Q3); Automotive Engineering (Q4); Computer Networks and Communications (Q4); Control and Optimization (Q4); Hardware and Architecture (Q4); Management of Technology and Innovation (Q4); Software (Q4)";"Business, Management and Accounting; Computer Science; Engineering; Mathematics"
1410;21101052717;Journal of Data Protection and Privacy;journal;23981687, 23981679;0,175;Q4;8;22;83;936;47;70;0,57;42,55;37,93;0;3;United Kingdom;Western Europe;Henry Stewart Publications;2017-2024;"Law (Q3); Management Information Systems (Q4); Marketing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
1411;21101222862;Journal of Nonprofit Education and Leadership;journal;23747838, 21570604;0,175;Q4;5;21;77;523;27;61;0,24;24,90;71,88;0;7;United States;Northern America;Sagamore Publishing LLC;2020-2024;"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q4)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
1412;21100887416;Marketing, Zeitschrift fur Forschung und Praxis;journal;3441369;0,175;Q4;8;0;52;0;16;41;0,34;0,00;0,00;0;0;Germany;Western Europe;C.H.BECK;2018-2023;"Marketing (Q4); Social Psychology (Q4)";"Business, Management and Accounting; Psychology"
1413;22495;Innovations;journal;12674982;0,174;Q4;14;23;74;985;44;72;0,45;42,83;46,81;0;6;Belgium;Western Europe;De Boeck Supérieur;2001-2024;"Economics and Econometrics (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1414;3300147410;Journal of Asian Pacific Communication;journal;15699838, 09576851;0,174;Q4;24;8;42;407;27;39;0,61;50,88;56,25;0;1;Netherlands;Western Europe;John Benjamins Publishing Company;2000-2024;"Communication (Q3); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Geography, Planning and Development (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1415;21100314708;International Journal of Business and Systems Research;journal;17512018, 1751200X;0,173;Q4;20;26;113;1361;99;110;0,79;52,35;42,37;0;5;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2007-2025;"Business and International Management (Q4); Management Information Systems (Q4); Strategy and Management (Q4)";Business, Management and Accounting
1416;17100154706;International Journal of Revenue Management;journal;14747332, 17418186;0,173;Q4;14;17;25;1271;29;25;0,79;74,76;40,00;0;7;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2007-2024;"Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1417;21101076095;Information and Media;journal;27836207;0,172;Q4;6;18;51;892;25;51;0,50;49,56;54,55;0;7;Lithuania;Eastern Europe;Vilnius University Press;2021-2024;"Library and Information Sciences (Q3); Media Technology (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering; Physics and Astronomy; Social Sciences"
1418;17500155121;International Journal of Electronic Customer Relationship Management;journal;17500664, 17500672;0,172;Q4;18;11;21;695;19;21;0,92;63,18;48,39;0;0;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2007-2024;Business, Management and Accounting (miscellaneous) (Q4);Business, Management and Accounting
1419;4000149708;International Journal of Management and Enterprise Development;journal;17418127, 14684330;0,172;Q4;29;17;58;1121;60;57;0,86;65,94;35,14;0;7;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2003-2025;"Business and International Management (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
1420;18700156730;International Journal of Technoentrepreneurship;journal;17465370, 17465389;0,172;Q4;11;10;10;694;11;10;1,10;69,40;26,09;0;5;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2007-2009, 2011, 2015-2017, 2020, 2022-2024;"Business and International Management (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1421;21100786532;Journal of Korea Trade;journal;1229828X;0,172;Q4;10;0;39;0;26;39;0,00;0,00;0,00;0;0;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2013-2021;"Business and International Management (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Industrial Relations (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
